Position,Name,Salary,GameInfo,AvgPointsPerGame,teamAbbrev,Rush,Yds,Yds/Attempt
QB,Tom Brady,15500,PHI@NE 02/04/2018 06:30PM ET,20.564,NE,0,0,0
QB,Nick Foles,12800,PHI@NE 02/04/2018 06:30PM ET,8.278,PHI,0,0,0
TE,Rob Gronkowski,12400,PHI@NE 02/04/2018 06:30PM ET,16.225,NE,0,0,0
WR,Alshon Jeffery,10000,PHI@NE 02/04/2018 06:30PM ET,12.861,PHI,0,0,0
QB,Brian Hoyer,9800,PHI@NE 02/04/2018 06:30PM ET,6.148,NE,0,0,0
WR,Danny Amendola,9500,PHI@NE 02/04/2018 06:30PM ET,11.506,NE,0,0,0
TE,Zach Ertz,9300,PHI@NE 02/04/2018 06:30PM ET,14.306,PHI,0,0,0
WR,Brandin Cooks,9100,PHI@NE 02/04/2018 06:30PM ET,14.022,NE,0,0,0
RB,Dion Lewis,8900,PHI@NE 02/04/2018 06:30PM ET,13.594,NE,180,896,4.977777778
QB,Nate Sudfeld,8700,PHI@NE 02/04/2018 06:30PM ET,3.58,PHI,0,0,0
RB,Jay Ajayi,8300,PHI@NE 02/04/2018 06:30PM ET,10.3,PHI,208,873,4.197115385
RB,James White,8100,PHI@NE 02/04/2018 06:30PM ET,10.35,NE,43,171,3.976744186
WR,Nelson Agholor,7400,PHI@NE 02/04/2018 06:30PM ET,11.822,PHI,0,0,0
RB,Rex Burkhead,6900,PHI@NE 02/04/2018 06:30PM ET,11.845,NE,64,264,4.125
WR,Chris Hogan,6400,PHI@NE 02/04/2018 06:30PM ET,11,NE,0,0,0
WR,Torrey Smith,5900,PHI@NE 02/04/2018 06:30PM ET,6.583,PHI,0,0,0
RB,LeGarrette Blount,5500,PHI@NE 02/04/2018 06:30PM ET,7.033,PHI,173,766,4.427745665
LB,Kyle Van Noy,5100,PHI@NE 02/04/2018 06:30PM ET,7.833,NE,0,0,0
CB,Ronald Darby,4900,PHI@NE 02/04/2018 06:30PM ET,8.55,PHI,0,0,0
TE,Dwayne Allen,4800,PHI@NE 02/04/2018 06:30PM ET,1.367,NE,0,0,0
S,Malcolm Jenkins,4800,PHI@NE 02/04/2018 06:30PM ET,7.111,PHI,0,0,0
LB,Nigel Bradham,4700,PHI@NE 02/04/2018 06:30PM ET,7.265,PHI,0,0,0
DE,Trey Flowers,4600,PHI@NE 02/04/2018 06:30PM ET,7.063,NE,0,0,0
DT,Fletcher Cox,4500,PHI@NE 02/04/2018 06:30PM ET,5,PHI,0,0,0
S,Devin McCourty,4400,PHI@NE 02/04/2018 06:30PM ET,7.139,NE,0,0,0
RB,Corey Clement,4300,PHI@NE 02/04/2018 06:30PM ET,5.822,PHI,74,321,4.337837838
LB,Mychal Kendricks,4300,PHI@NE 02/04/2018 06:30PM ET,6.088,PHI,0,0,0
LB,James Harrison,4200,PHI@NE 02/04/2018 06:30PM ET,3.875,NE,0,0,0
DE,Brandon Graham,4100,PHI@NE 02/04/2018 06:30PM ET,6.324,PHI,0,0,0
WR,Phillip Dorsett,4000,PHI@NE 02/04/2018 06:30PM ET,2.263,NE,0,0,0
CB,Jalen Mills,4000,PHI@NE 02/04/2018 06:30PM ET,6.882,PHI,0,0,0
S,Patrick Chung,3900,PHI@NE 02/04/2018 06:30PM ET,6.611,NE,0,0,0
RB,Mike Gillislee,3800,PHI@NE 02/04/2018 06:30PM ET,7.644,NE,104,383,3.682692308
CB,Malcolm Butler,3800,PHI@NE 02/04/2018 06:30PM ET,6.222,NE,0,0,0
S,Rodney McLeod,3700,PHI@NE 02/04/2018 06:30PM ET,5.647,PHI,0,0,0
CB,Stephon Gilmore,3600,PHI@NE 02/04/2018 06:30PM ET,5.9,NE,0,0,0
CB,Patrick Robinson,3500,PHI@NE 02/04/2018 06:30PM ET,6.917,PHI,0,0,0
WR,Mack Hollins,3400,PHI@NE 02/04/2018 06:30PM ET,2.583,PHI,0,0,0
DE,Derek Barnett,3300,PHI@NE 02/04/2018 06:30PM ET,5.265,PHI,0,0,0
TE,Trey Burton,3200,PHI@NE 02/04/2018 06:30PM ET,4.824,PHI,0,0,0
DE,Chris Long,3200,PHI@NE 02/04/2018 06:30PM ET,3.861,PHI,0,0,0
DE,Lawrence Guy,3100,PHI@NE 02/04/2018 06:30PM ET,4.139,NE,0,0,0
RB,James Develin,3000,PHI@NE 02/04/2018 06:30PM ET,0.544,NE,0,0,0
RB,Brandon Bolden,3000,PHI@NE 02/04/2018 06:30PM ET,0.95,NE,13,67,5.153846154
WR,Matthew Slater,3000,PHI@NE 02/04/2018 06:30PM ET,0,NE,0,0,0
WR,Kenny Britt,3000,PHI@NE 02/04/2018 06:30PM ET,4.8,NE,0,0,0
WR,Bernard Reedy,3000,PHI@NE 02/04/2018 06:30PM ET,0.527,NE,0,0,0
TE,Jacob Hollister,3000,PHI@NE 02/04/2018 06:30PM ET,0.606,NE,0,0,0
LB,Elandon Roberts,3000,PHI@NE 02/04/2018 06:30PM ET,4.559,NE,0,0,0
RB,Kenjon Barner,3000,PHI@NE 02/04/2018 06:30PM ET,1.487,PHI,16,57,3.5625
RB,Wendell Smallwood,3000,PHI@NE 02/04/2018 06:30PM ET,5.838,PHI,47,124,2.638297872
WR,Shelton Gibson,3000,PHI@NE 02/04/2018 06:30PM ET,0.388,PHI,0,0,0
WR,Marcus Johnson,3000,PHI@NE 02/04/2018 06:30PM ET,0.75,PHI,0,0,0
TE,Brent Celek,3000,PHI@NE 02/04/2018 06:30PM ET,1.867,PHI,0,0,0
DE,Vinny Curry,2900,PHI@NE 02/04/2018 06:30PM ET,3.083,PHI,0,0,0
LB,Marquis Flowers,2800,PHI@NE 02/04/2018 06:30PM ET,3.333,NE,0,0,0
S,Corey Graham,2800,PHI@NE 02/04/2018 06:30PM ET,4.281,PHI,0,0,0
DT,Alan Branch,2700,PHI@NE 02/04/2018 06:30PM ET,1,NE,0,0,0
DE,Geneo Grissom,2600,PHI@NE 02/04/2018 06:30PM ET,1.55,NE,0,0,0
DT,Malcom Brown,2600,PHI@NE 02/04/2018 06:30PM ET,3.767,NE,0,0,0
DE,Deatrich Wise Jr.,2500,PHI@NE 02/04/2018 06:30PM ET,3.389,NE,0,0,0
DT,Adam Butler,2500,PHI@NE 02/04/2018 06:30PM ET,2.056,NE,0,0,0
DT,Ricky Jean Francois,2500,PHI@NE 02/04/2018 06:30PM ET,1.393,NE,0,0,0
DE,Eric Lee,2400,PHI@NE 02/04/2018 06:30PM ET,6,NE,0,0,0
CB,Eric Rowe,2300,PHI@NE 02/04/2018 06:30PM ET,2.7,NE,0,0,0
DT,Timmy Jernigan,2300,PHI@NE 02/04/2018 06:30PM ET,2.088,PHI,0,0,0
S,Duron Harmon,2200,PHI@NE 02/04/2018 06:30PM ET,3.056,NE,0,0,0
LB,Dannell Ellerbe,2200,PHI@NE 02/04/2018 06:30PM ET,2.25,PHI,0,0,0
CB,Rasul Douglas,2200,PHI@NE 02/04/2018 06:30PM ET,3.281,PHI,0,0,0
LB,Najee Goode,2100,PHI@NE 02/04/2018 06:30PM ET,1.25,PHI,0,0,0
LB,Nicholas Grigsby,2000,PHI@NE 02/04/2018 06:30PM ET,0.786,NE,0,0,0
LB,Joe Cardona,2000,PHI@NE 02/04/2018 06:30PM ET,0.167,NE,0,0,0
LB,David Harris,2000,PHI@NE 02/04/2018 06:30PM ET,2.5,NE,0,0,0
CB,Johnson Bademosi,2000,PHI@NE 02/04/2018 06:30PM ET,1.647,NE,0,0,0
S,Brandon King,2000,PHI@NE 02/04/2018 06:30PM ET,1.2,NE,0,0,0
S,Jordan Richards,2000,PHI@NE 02/04/2018 06:30PM ET,1.694,NE,0,0,0
DE,Steven Means,2000,PHI@NE 02/04/2018 06:30PM ET,1.333,PHI,0,0,0
DT,Elijah Qualls,2000,PHI@NE 02/04/2018 06:30PM ET,0.583,PHI,0,0,0
DT,Beau Allen,2000,PHI@NE 02/04/2018 06:30PM ET,1.294,PHI,0,0,0
DT,Destiny Vaeao,2000,PHI@NE 02/04/2018 06:30PM ET,0.917,PHI,0,0,0
LB,Kamu Grugier-Hill,2000,PHI@NE 02/04/2018 06:30PM ET,1.861,PHI,0,0,0
LB,Nathan Gerry,2000,PHI@NE 02/04/2018 06:30PM ET,0.458,PHI,0,0,0
LB,Bryan Braman,2000,PHI@NE 02/04/2018 06:30PM ET,0,PHI,0,0,0
LB,Rick Lovato,2000,PHI@NE 02/04/2018 06:30PM ET,0.167,PHI,0,0,0
CB,Sidney Jones,2000,PHI@NE 02/04/2018 06:30PM ET,2,PHI,0,0,0
S,Jaylen Watkins,2000,PHI@NE 02/04/2018 06:30PM ET,1.179,PHI,0,0,0
